"Dalvik/5.0 (Android 3.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.3; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.3; Tablet; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 4.3; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.4.2; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.1"
"Dalvik/5.0 (Android 4.4.2; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0"
"Dalvik/5.0 (Android 4.4.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0"
"Dalvik/5.0 (Android 4.4.2; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 4.4.2; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0"
"Dalvik/5.0 (Android 4.4.2; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.4.2; Tablet; rv:42.0) Gecko/42.0 Firefox/42.0"
"Dalvik/5.0 (Android 4.4.2; Tablet; rv:49.0) Gecko/49.0 Firefox/49.0"
"Dalvik/5.0 (Android 4.4.3; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0"
"Dalvik/5.0 (Android 4.4.4; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.4.4; Tablet; rv:52.0) Gecko/52.0 Firefox/52.0"
"Dalvik/5.0 (Android 4.4.4; Tablet; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 4.4.4; Tablet; rv:56.0) Gecko/56.0 Firefox/56.0"
"Dalvik/5.0 (Android 4.4.4; Tablet; rv:57.0) Gecko/57.0 Firefox/57.0"
"Dalvik/5.0 (Android 4.4.4; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.4; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.4; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 5.0.1; Tablet; rv:51.0) Gecko/51.0 Firefox/51.0"
"Dalvik/5.0 (Android 5.0.1; Tablet; rv:51.0) Gecko/51.0 Firefox/51.0,gzip(gfe)"
"Dalvik/5.0 (Android 5.0.2; en-us) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.1"
"Dalvik/5.0 (Android 5.0.2; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0"
"Dalvik/5.0 (Android 5.0.2; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0"
"Dalvik/5.0 (Android 5.0.2; Tablet; rv:48.0) Gecko/48.0 Firefox/48.0"
"Dalvik/5.0 (Android 5.0.2; Tablet; rv:49.0) Gecko/49.0 Firefox/49.0"
"Dalvik/5.0 (Android 5.0; Mobile; rv:48.0) Gecko/48.0 Firefox/48.0"
"Dalvik/5.0 (Android 5.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 5.0; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 5.1.1; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0"
"Dalvik/5.0 (Android 5.1.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 5.1.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 5.1; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0"
"Dalvik/5.0 (Android 5.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 5.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:58.0) Gecko/58.0 Firefox/58.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0"
"Dalvik/5.0 (Android 6.0.1; Mobile; rv:63.0) Gecko/63.0 Firefox/63.0"
"Dalvik/5.0 (Android 6.0.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 6.0.1; Tablet; rv:53.0) Gecko/53.0 Firefox/53.0"
"Dalvik/5.0 (Android 6.0.1; Tablet; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 6.0.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 6.0; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0"
"Dalvik/5.0 (Android 6.0; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 6.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 6.0; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 7.0; Mobile; LG-M150; rv:52.0) Gecko/52.0 Firefox/52.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:55.0) Gecko/55.0 Firefox/55.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:58.0) Gecko/58.0 Firefox/58.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0"
"Dalvik/5.0 (Android 7.0; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0"
"Dalvik/5.0 (Android 7.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 7.0; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 7.1.1; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0"
"Dalvik/5.0 (Android 7.1.1; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 7.1.1; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0"
"Dalvik/5.0 (Android 7.1.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0"
"Dalvik/5.0 (Android 7.1.2; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0"
"Dalvik/5.0 (Android 7.1.2; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 7.1.2; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 7.1; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0"
"Dalvik/5.0 (Android 7.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 7.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 8.0.0; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0"
"Dalvik/5.0 (Android 8.0.0; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0"
"Dalvik/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
"Dalvik/5.0 (Android 8.0.0; Tablet; rv:55.0) Gecko/55.0 Firefox/55.0"
"Dalvik/5.0 (Android 8.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 8.0; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android; Mobile; MyIE; rv:40.7) Gecko/40.7 Firefox/40.7"
"Dalvik/5.0 (Android; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0"
"Dalvik/5.0 (Android; Mobile; rv:23.0) Gecko/23.0 Firefox/23.0"
"Dalvik/5.0 (Android; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0"
"Dalvik/5.0 (Android; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0"
"Dalvik/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0"
"Dalvik/5.0 (Android; Tablet; rv:25.9) Gecko/25.9 Firefox/31.9 PaleMoon/25.9.6"
"Dalvik/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/58.0.3029.113 Mobile/14C92 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/62.0.3202.70 Mobile/14C92 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C90 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) FxiOS/7.0b2330 Mobile/14D27 Safari/602.4.6"
"Dalvik/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mobile/14D27"
"Dalvik/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/58.0.3029.113 Mobile/14E304 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/58.0.3029.83 Mobile/14E304 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Focus/3.1 Mobile/14E304"
"Dalvik/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) GSA/29.0.159059490 Mobile/14F89 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.102 Mobile/14F89 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/60.0.3112.89 Mobile/14F89 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) CriOS/52.0.2743.84 Mobile/14F89 Safari/603.2.4 _id/000003"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) FxiOS/7.5b3349 Mobile/14F89 Safari/603.2.4"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89"
"Dalvik/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) GSA/33.0.164895372 Mobile/14G60 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/61.0.3163.73 Mobile/14G60 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Mobile/14G60"
"Dalvik/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_0_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/61.0.3163.73 Mobile/15A402 Safari/602.1"
"Dalvik/5.0 (iPad; CPU OS 11_0_1 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A402 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_0_3 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A432 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_1_1 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B150 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_1_2 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) GSA/39.0.175034278 Mobile/15B202 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_1_2 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B202 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C114 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_2_1 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C153 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_2_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C202 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_2_5 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/64.0.3282.112 Mobile/15D60 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D60 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/11.1b10377 Mobile/15E302 Safari/605.1.15"
"Dalvik/5.0 (iPad; CPU OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E302"
"Dalvik/5.0 (iPad; CPU OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_3_1 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/66.0.3359.122 Mobile/15E302 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/14.0b12646 Mobile/16A404 Safari/605.1.15"
"Dalvik/5.0 (iPad; CPU OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A404"
"Dalvik/5.0 (iPad; CPU OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/14.0b12646 Mobile/16B92 Safari/605.1.15"
"Dalvik/5.0 (iPad; CPU OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
"Dalvik/5.0 (iPad; CPU OS 4_3_5 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8L1 Safari/6533.18.5"
"Dalvik/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) CriOS/29.0.1547.11 Mobile/9B206 Safari/7534.48.3"
"Dalvik/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Mobile/9B206"
"Dalvik/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
"Dalvik/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25"
"Dalvik/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25"
"Dalvik/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Mobile/11B554a [FBAN/FBIOS;FBAV/19.0.0.10.12;FBBV/5450691;FBDV/iPad3,4;FBMD/iPad;FBSN/iPhone OS;FBSV/7.0.4;FBSS/2; FBCR/;FBID/tablet;FBLC/en_US;FBOP/1]"
"Dalvik/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53"
"Dalvik/5.0 (iPad; CPU OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B435 Safari/600.1.4"
"Dalvik/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"Dalvik/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
"Dalvik/5.0 (iPad; CPU OS 9_0 like Mac OS X) AppleWebKit/601.1.16 (KHTML, like Gecko) Version/8.0 Mobile/13A171a Safari/600.1.4"
"Dalvik/5.0 (iPad; CPU OS 9_0 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A344 Safari/601.1 FingerBrowser/1.7"
"Dalvik/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
"Dalvik/5.0 (iPad; CPU OS 9_1 like Mac OS X; en-ZA) AppleWebKit/538.14.12 (KHTML, like Gecko) Version/7.0.1 Mobile/8J2 Safari/538.14.12"
"Dalvik/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1"
"Dalvik/5.0 (iPad; CPU OS 9_3_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G34 Safari/601.1"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/20.3.136880903 Mobile/13G36 Safari/600.1.4"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/8.0.57838 Mobile/13G36 Safari/600.1.4"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/58.0.3029.113 Mobile/13G36 Safari/601.1.46"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/58.0.3029.83 Mobile/13G36 Safari/601.1.46"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/60.0.3112.89 Mobile/13G36 Safari/601.1.46"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/63.0.3239.73 Mobile/13G36 Safari/601.1.46"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  Version/9.3.5 Mobile/13G36 Safari/537.36 Puffin/5.1.3IT"
"Dalvik/5.0 (iPad; CPU OS 9_3_5 like Mac OS X; en-US) AppleWebKit/537.36 (KHTML, like Gecko) Version/9.3.5 Mobile/13G36 Safari/537.36 Puffin/5.1.3IT Chrome/52.0.2623"
"Dalvik/5.0 (iPad; U; CPU OS 10_3 like Mac OS X; zh-CN; iPad5,3) AppleWebKit/534.46 (KHTML, like Gecko) UCBrowser/3.0.1.776 U3/ Mobile/10A403 Safari/7543.48.3"
"Dalvik/5.0 (iPad; U; CPU OS 10_3 like Mac OS X; zh-CN; iPad6,11) AppleWebKit/534.46 (KHTML, like Gecko) UCBrowser/3.0.1.776 U3/ Mobile/10A403 Safari/7543.48.3"
"Dalvik/5.0 (iPad; U; CPU OS 3_2 like Mac OS X; en-us) AppleWebKit/531.21.10 (KHTML, like Gecko) Version/4.0.4 Mobile/7B334b Safari/531.21.10"
"Dalvik/5.0 (iPad; U; CPU OS 3_2 like Mac OS X; en-us) AppleWebKit/531.21.10 (KHTML, like Gecko) Version/4.0.4 Mobile/7B334b Safari/531.21.102011-10-16 20:23:10"
"Dalvik/5.0 (iPad; U; CPU OS 5_0 like Mac OS X; en-us) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3"
"Dalvik/5.0 (iPad; U; CPU OS 5_1 like Mac OS X) AppleWebKit/531.21.10 (KHTML, like Gecko) Version/4.0.4 Mobile/7B367 Safari/531.21.10 UCBrowser/2.5.0.350"
"Dalvik/5.0 (iPad; U; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A403 Safari/8536.25"
"Dalvik/5.0 (iPhone 4S; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 MQQBrowser/8.0.2 Mobile/13G36 Safari/8536.25 MttCustomUA/2 QBWebViewType/1 WKType/1"
"Dalvik/5.0 (iPhone 5SGLOBAL; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/6.0 MQQBrowser/6.0 Mobile/12B440 Safari/8536.25"
"Dalvik/5.0 (iPhone 84; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 MQQBrowser/7.8.0 Mobile/14G60 Safari/8536.25 MttCustomUA/2 QBWebViewType/1 WKType/1"
"Dalvik/5.0 (iPhone 91; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 MQQBrowser/8.0.2 Mobile/14G60 Safari/8536.25 MttCustomUA/2 QBWebViewType/1 WKType/1"
"Dalvik/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A345 Safari/602.1"
"Dalvik/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A403 Safari/602.1"
"Dalvik/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/14A456 Safari/601.1.46"
